SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed
560,20.48,40,10,protocol,7.5,400,4274,10.685,396,360,0.909091,0.845249,0.773948,0.741061,0.726198,0.688581,0.641153,0.641153,0.641153,0.641153,0.463742,24
561,19.968,39,10,protocol,7.5,400,4252,10.63,357,319,0.893557,0.858349,0.787405,0.749017,0.733881,0.693382,0.635861,0.635861,0.635861,0.635861,0.463657,24
562,19.456,38,10,protocol,7.5,400,4648,11.62,318,288,0.90566,0.881206,0.854021,0.820256,0.788964,0.743484,0.689466,0.689466,0.689466,0.689466,0.463685,24
563,19.456,38,10,protocol,7.5,400,4785,11.9625,295,274,0.928814,0.881371,0.8408,0.821269,0.800466,0.763932,0.70696,0.70696,0.70696,0.70696,0.463555,24
564,18.432,36,10,protocol,7.5,400,4706,11.765,284,266,0.93662,0.888268,0.837706,0.816657,0.791142,0.747518,0.69442,0.69442,0.69442,0.69442,0.463369,24
565,18.432,36,10,protocol,7.5,400,4535,11.3375,240,213,0.8875,0.853748,0.814685,0.7829,0.761354,0.723404,0.675253,0.675253,0.675253,0.675253,0.463469,24
566,18.432,36,10,protocol,7.5,400,4825,12.0625,258,240,0.930233,0.894231,0.859167,0.825686,0.804154,0.761234,0.7101,0.7101,0.7101,0.7101,0.463299,24
567,18.432,36,10,protocol,7.5,400,4580,11.45,294,274,0.931973,0.854776,0.813521,0.782693,0.765329,0.722128,0.66886,0.66886,0.66886,0.66886,0.463131,24
568,16.896,33,10,protocol,7.5,400,4712,11.78,270,240,0.888889,0.870564,0.832705,0.80963,0.786604,0.747019,0.686435,0.686435,0.686435,0.686435,0.463009,24
569,17.92,35,10,protocol,7.5,400,4535,11.3375,286,266,0.93007,0.868973,0.815864,0.780412,0.755085,0.72118,0.655382,0.655382,0.655382,0.655382,0.463103,24
570,17.408,34,10,protocol,7.5,400,4538,11.345,294,268,0.911565,0.859213,0.817204,0.775028,0.754258,0.71893,0.653691,0.653691,0.653691,0.653691,0.463417,24
571,16.384,32,10,protocol,7.5,400,4941,12.3525,288,270,0.9375,0.890244,0.863768,0.82312,0.807229,0.774503,0.707366,0.707366,0.707366,0.707366,0.46331,24
572,18.432,36,10,protocol,7.5,400,4702,11.755,260,233,0.896154,0.865538,0.843034,0.79415,0.769604,0.731077,0.665157,0.665157,0.665157,0.665157,0.463169,24
573,18.432,36,10,protocol,7.5,400,4895,12.2375,222,210,0.945946,0.881958,0.847274,0.817549,0.795661,0.756122,0.692417,0.692417,0.692417,0.692417,0.463147,24
574,18.432,36,10,protocol,7.5,400,4948,12.37,196,185,0.943878,0.877246,0.848696,0.826432,0.801196,0.758824,0.696424,0.696424,0.696424,0.696424,0.462972,24
575,18.432,36,10,protocol,7.5,400,4598,11.495,215,210,0.976744,0.841093,0.807377,0.770595,0.744813,0.702197,0.644018,0.644018,0.644018,0.644018,0.462834,24
576,17.408,34,10,protocol,7.5,400,4656,11.64,230,212,0.921739,0.820312,0.79902,0.779772,0.754037,0.713042,0.649275,0.649275,0.649275,0.649275,0.462701,24
577,17.92,35,10,protocol,7.5,400,4557,11.3925,222,211,0.95045,0.822656,0.786032,0.761588,0.739541,0.69594,0.633797,0.633797,0.633797,0.633797,0.463118,24
578,18.432,36,10,protocol,7.5,400,4527,11.3175,238,218,0.915966,0.830059,0.788262,0.76834,0.744463,0.694946,0.62931,0.62931,0.62931,0.62931,0.463233,24
