SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
979,17.92,35,10,protocol,7.5,500,6962,13.924000000000001,482,455,0.943983,0.8994489999999999,0.852259,0.822831,0.783461,0.716318,0.646846,0.646846,0.646846,0.646846,0.49476099999999995,20,50.0
163,17.408,34,10,protocol,7.5,1400,26463,18.9021,3836,2479,0.646246,0.490155,0.42347399999999996,0.384506,0.352306,0.315783,0.27920500000000004,0.27920500000000004,0.27920500000000004,0.27920500000000004,0.481278,20,140.0
847,13.824000000000002,27,10,protocol,7.5,1300,25249,19.4223,4082,2663,0.6523760000000001,0.491925,0.419167,0.384615,0.360605,0.329648,0.298719,0.298719,0.298719,0.298719,0.506868,20,130.0
293,20.48,40,10,protocol,7.5,1100,20143,18.3118,2715,1921,0.707551,0.544384,0.475125,0.438305,0.407699,0.372316,0.336593,0.336593,0.336593,0.336593,0.514845,20,110.0
110,13.824000000000002,27,10,protocol,7.5,800,13030,16.2875,1176,961,0.817177,0.7214729999999999,0.656513,0.616388,0.578914,0.530247,0.469021,0.469021,0.469021,0.469021,0.498808,20,80.0
251,13.824000000000002,27,10,protocol,7.5,1400,31629,22.5921,4217,3025,0.7173350000000001,0.581853,0.511941,0.469683,0.4321,0.394029,0.357352,0.357352,0.357352,0.357352,0.48763199999999995,20,140.0
519,18.944000000000006,37,10,protocol,7.5,500,8066,16.132,851,745,0.875441,0.775207,0.717148,0.687006,0.6704479999999999,0.638915,0.5927939999999999,0.5927939999999999,0.5927939999999999,0.5927939999999999,0.495529,20,50.0
954,17.408,34,10,protocol,7.5,500,6504,13.008,442,409,0.9253389999999999,0.873518,0.8316520000000001,0.797872,0.765025,0.695905,0.624748,0.624748,0.624748,0.624748,0.495438,20,50.0
117,16.896,33,10,protocol,7.5,900,15524,17.2489,1584,1172,0.739899,0.573121,0.499609,0.461974,0.435817,0.405577,0.368502,0.368502,0.368502,0.368502,0.498163,20,90.0
368,18.944000000000006,37,10,protocol,7.5,1300,23514,18.0877,3646,2246,0.6160180000000001,0.47472200000000003,0.411487,0.383168,0.354091,0.318835,0.28576799999999997,0.28576799999999997,0.28576799999999997,0.28576799999999997,0.493572,20,130.0
573,13.312000000000001,26,10,protocol,7.5,1500,28481,18.9873,4700,2855,0.6074470000000001,0.469929,0.404305,0.36532800000000004,0.335387,0.302166,0.27020500000000003,0.27020500000000003,0.27020500000000003,0.27020500000000003,0.499226,20,150.0
328,4.096,8,10,protocol,7.5,1000,17118,17.118,1896,1331,0.702004,0.6069100000000001,0.544829,0.5088010000000001,0.47357,0.427439,0.380693,0.380693,0.380693,0.380693,0.5287810000000001,20,100.0
326,11.776,23,10,protocol,7.5,1600,30139,18.8369,5603,3318,0.592183,0.429912,0.3631,0.328498,0.30078,0.271859,0.240988,0.240988,0.240988,0.240988,0.483009,20,160.0
509,16.896,33,10,protocol,7.5,700,11194,15.9914,1106,865,0.782098,0.6872590000000001,0.609252,0.5611189999999999,0.521068,0.487759,0.4504510000000001,0.4504510000000001,0.4504510000000001,0.4504510000000001,0.510595,20,70.0
394,19.968,39,10,protocol,7.5,1100,27123,24.6573,3073,2402,0.781647,0.673657,0.6198229999999999,0.584066,0.554717,0.518292,0.47109399999999996,0.47109399999999996,0.47109399999999996,0.47109399999999996,0.5137010000000001,20,110.0
737,19.968,39,10,protocol,7.5,200,1536,7.68,12,12,1.0,0.982143,0.983929,0.988189,0.981884,0.958159,0.875143,0.875143,0.875143,0.875143,0.400084,20,20.0
166,20.48,40,10,protocol,7.5,1200,22404,18.67,3488,2503,0.717603,0.577756,0.5014529999999999,0.46773400000000004,0.430619,0.387654,0.343495,0.343495,0.343495,0.343495,0.492278,20,120.0
175,15.872,31,10,protocol,7.5,700,10825,15.4643,984,763,0.775407,0.680771,0.6184729999999999,0.592651,0.5692689999999999,0.526672,0.47353199999999995,0.47353199999999995,0.47353199999999995,0.47353199999999995,0.511532,20,70.0
683,15.872,31,10,protocol,7.5,500,7097,14.194,600,509,0.848333,0.8203809999999999,0.779613,0.742527,0.714443,0.6652100000000001,0.607675,0.607675,0.607675,0.607675,0.499061,20,50.0
